               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.033589,           0.0052778,                   0,             0.86377,             0.85685,             0.87575,             0.49964,            0.031844,           0.0045667,                   0,             0.00268,             0.00268,             0.00268
                  63,            0.031409,           0.0052905,                   0,             0.86517,              0.8382,             0.87709,             0.50601,            0.032962,           0.0044962,                   0,             0.00256,             0.00256,             0.00256
                  64,            0.033172,           0.0051424,                   0,             0.85591,             0.82947,             0.87434,             0.47849,            0.032995,           0.0046408,                   0,             0.00244,             0.00244,             0.00244
                  65,            0.030349,           0.0052569,                   0,             0.85108,             0.79806,             0.87585,              0.4984,            0.031404,           0.0046879,                   0,             0.00232,             0.00232,             0.00232
                  66,            0.027273,           0.0050472,                   0,             0.87526,             0.83333,             0.88802,             0.51337,            0.031882,           0.0046561,                   0,              0.0022,              0.0022,              0.0022
                  67,            0.030815,           0.0051211,                   0,             0.87051,             0.86036,              0.8926,             0.52997,            0.032461,           0.0044178,                   0,             0.00208,             0.00208,             0.00208
                  68,            0.033142,           0.0053366,                   0,             0.87531,             0.88541,             0.90205,             0.52847,            0.033691,            0.004387,                   0,             0.00196,             0.00196,             0.00196
                  69,            0.030306,           0.0051344,                   0,             0.89064,             0.84378,             0.89731,              0.5167,             0.03565,           0.0045357,                   0,             0.00184,             0.00184,             0.00184
                  70,            0.031405,            0.005031,                   0,             0.92476,             0.83048,             0.90162,             0.53585,            0.033279,           0.0046244,                   0,             0.00172,             0.00172,             0.00172
                  71,            0.026857,           0.0051124,                   0,             0.90693,             0.85135,             0.90292,             0.53349,            0.033099,           0.0045737,                   0,              0.0016,              0.0016,              0.0016
                  72,            0.028393,           0.0050593,                   0,             0.88665,             0.85586,             0.90064,             0.53444,            0.033656,           0.0044842,                   0,             0.00148,             0.00148,             0.00148
                  73,            0.027475,           0.0049768,                   0,             0.84449,             0.86486,             0.88526,             0.51915,            0.031946,           0.0044358,                   0,             0.00136,             0.00136,             0.00136
                  74,            0.028331,           0.0047911,                   0,             0.86599,             0.86036,             0.88492,             0.51338,            0.031456,           0.0045217,                   0,             0.00124,             0.00124,             0.00124
