                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.55176,                0.42555,                 1.1385,                0.97241,                0.96889,                0.97923,                0.76107,                 0.8015,                0.44153,                 1.3029,              0.0002378,              0.0002378,              0.0002378
                     92,                0.51253,                0.35928,                 1.1084,                0.97221,                0.96889,                0.97956,                0.77957,                0.73727,                  0.428,                 1.2553,               0.000218,               0.000218,               0.000218
                     93,                0.48839,                0.32595,                 1.0658,                0.96334,                0.98222,                0.98258,                0.79136,                0.74281,                 0.4216,                 1.2689,              0.0001982,              0.0001982,              0.0001982
                     94,                0.50306,                0.32485,                 1.0953,                 0.9685,                0.97333,                0.98283,                0.78344,                0.76654,                0.43282,                 1.2907,              0.0001784,              0.0001784,              0.0001784
                     95,                0.48643,                0.32406,                 1.0839,                0.96907,                0.97471,                0.98768,                 0.8003,                0.73118,                0.39048,                 1.2533,              0.0001586,              0.0001586,              0.0001586
                     96,                0.48534,                0.31722,                 1.0902,                0.97155,                0.97778,                0.99169,                0.79787,                0.74189,                0.39976,                 1.2755,              0.0001388,              0.0001388,              0.0001388
                     97,                0.47346,                0.31685,                 1.0557,                0.96467,                0.97071,                0.98427,                0.79025,                 0.7446,                0.40142,                 1.2727,               0.000119,               0.000119,               0.000119
                     98,                0.45899,                0.29967,                  1.055,                0.97896,                0.97778,                0.99149,                 0.8084,                0.71924,                0.38321,                 1.2515,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.45282,                0.30184,                 1.0556,                0.97864,                0.97778,                0.99152,                0.81124,                0.71271,                0.36819,                 1.2455,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.4562,                 0.2938,                 1.0395,                0.96493,                0.97839,                0.99158,                0.81408,                0.70581,                0.37454,                 1.2366,               5.96e-05,               5.96e-05,               5.96e-05
