               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.036114,           0.0099646,           0.0016328,             0.95924,             0.95536,             0.96677,              0.6268,            0.023436,           0.0081911,           0.0015758,             0.00352,             0.00352,             0.00352
                  56,            0.036416,             0.01002,           0.0017178,             0.96112,             0.94616,             0.96484,              0.6194,            0.024054,           0.0081802,           0.0015043,              0.0034,              0.0034,              0.0034
                  57,            0.035776,           0.0097534,           0.0016693,             0.95116,             0.96098,             0.96102,             0.62105,            0.024122,           0.0082151,           0.0013962,             0.00328,             0.00328,             0.00328
                  58,            0.035781,           0.0099126,            0.001727,             0.96154,             0.95782,             0.96448,             0.62293,            0.023935,           0.0082783,           0.0016128,             0.00316,             0.00316,             0.00316
                  59,            0.035526,           0.0097133,           0.0015707,             0.95928,             0.95382,             0.95968,             0.61039,            0.024775,           0.0084399,           0.0014087,             0.00304,             0.00304,             0.00304
                  60,            0.035533,           0.0097453,           0.0015807,             0.96585,             0.95091,             0.96274,             0.62509,            0.023691,            0.008297,           0.0012796,             0.00292,             0.00292,             0.00292
                  61,            0.035235,           0.0096749,           0.0016018,             0.96378,             0.95784,             0.96159,              0.6231,            0.024468,           0.0083838,           0.0016852,              0.0028,              0.0028,              0.0028
                  62,            0.035629,           0.0095311,           0.0015049,             0.96584,             0.94497,              0.9607,             0.62614,            0.024812,           0.0084483,           0.0015518,             0.00268,             0.00268,             0.00268
                  63,            0.034724,            0.009613,           0.0015381,             0.95939,             0.95056,             0.96181,             0.62591,            0.023239,           0.0083257,           0.0015299,             0.00256,             0.00256,             0.00256
                  64,            0.034168,           0.0098397,           0.0014485,             0.95441,             0.95541,             0.96548,             0.63717,            0.023468,           0.0081388,           0.0014245,             0.00244,             0.00244,             0.00244
                  65,            0.034021,           0.0094451,           0.0013889,             0.96156,             0.96466,             0.96592,              0.6386,            0.023795,           0.0080923,            0.001555,             0.00232,             0.00232,             0.00232
                  66,            0.033929,           0.0093978,           0.0014566,             0.95856,             0.95415,             0.96362,             0.63472,            0.023333,           0.0081953,           0.0015308,              0.0022,              0.0022,              0.0022
                  67,            0.033628,           0.0093435,           0.0014461,              0.9656,             0.95929,             0.96426,             0.62672,            0.024248,           0.0083843,           0.0014707,             0.00208,             0.00208,             0.00208
                  68,            0.033441,           0.0094496,           0.0013807,             0.95938,             0.95356,             0.96149,             0.63734,            0.023783,           0.0083162,           0.0015164,             0.00196,             0.00196,             0.00196
                  69,            0.033296,            0.009492,            0.001399,             0.96229,             0.96483,             0.96499,             0.63999,            0.022957,           0.0081689,           0.0014925,             0.00184,             0.00184,             0.00184
                  70,             0.03339,           0.0094263,           0.0014226,             0.96874,             0.96363,               0.965,             0.63767,            0.023371,           0.0082187,           0.0013877,             0.00172,             0.00172,             0.00172
                  71,            0.032709,           0.0093846,           0.0013168,             0.96089,             0.96382,             0.96557,             0.63742,            0.023418,           0.0082592,           0.0013833,              0.0016,              0.0016,              0.0016
                  72,            0.032307,           0.0091624,           0.0012956,             0.96782,             0.96064,             0.96545,               0.636,            0.023748,           0.0082178,           0.0014311,             0.00148,             0.00148,             0.00148
                  73,            0.032226,           0.0091614,           0.0012715,             0.96218,             0.95913,             0.96466,             0.63611,            0.023369,           0.0082236,           0.0014083,             0.00136,             0.00136,             0.00136
                  74,            0.032167,           0.0090967,           0.0013419,             0.96625,             0.95777,             0.96521,             0.64063,            0.023722,           0.0082427,            0.001407,             0.00124,             0.00124,             0.00124
