                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.96532,                0.81895,                 1.3117,                0.87453,                0.81631,                0.89216,                0.55905,                  1.373,                0.83686,                 1.9112,              0.0005216,              0.0005216,              0.0005216
                     59,                0.96843,                0.78961,                 1.2817,                0.90397,                0.76326,                0.88025,                0.55427,                 1.3424,                0.84333,                 1.8921,              0.0004952,              0.0004952,              0.0004952
                     60,                0.95764,                0.76377,                 1.2688,                0.85912,                0.81532,                0.90191,                0.55313,                 1.3624,                0.80952,                  1.918,              0.0004688,              0.0004688,              0.0004688
                     61,                0.95726,                0.79102,                 1.2809,                0.89121,                0.84234,                0.91736,                0.56056,                 1.3553,                0.79195,                 1.9118,              0.0004424,              0.0004424,              0.0004424
                     62,                0.93437,                0.76711,                 1.2752,                 0.9169,                0.80631,                 0.9155,                0.58664,                 1.2868,                0.78258,                 1.8198,               0.000416,               0.000416,               0.000416
                     63,                 0.9453,                0.76488,                 1.2703,                0.94057,                0.77928,                0.90964,                0.56484,                 1.3468,                0.81125,                 1.9045,              0.0003896,              0.0003896,              0.0003896
                     64,                0.93683,                0.72801,                  1.257,                0.92432,                0.82523,                0.92162,                0.58811,                 1.3054,                0.75358,                 1.8653,              0.0003632,              0.0003632,              0.0003632
                     65,                0.91667,                0.71132,                 1.2463,                0.90633,                0.81532,                 0.9014,                0.55218,                 1.3639,                0.78849,                 1.9255,              0.0003368,              0.0003368,              0.0003368
                     66,                0.92914,                0.70975,                 1.2857,                0.92681,                0.79854,                0.88571,                0.55928,                 1.3348,                 0.8037,                 1.9292,              0.0003104,              0.0003104,              0.0003104
                     67,                0.86894,                0.62459,                 1.2664,                0.88829,                0.82883,                0.89028,                0.56114,                 1.3336,                0.79431,                 1.9263,               0.000284,               0.000284,               0.000284
                     68,                0.85222,                 0.5701,                 1.2534,                0.90567,                0.81982,                0.91584,                0.58654,                 1.3011,                0.75225,                 1.8669,              0.0002576,              0.0002576,              0.0002576
                     69,                0.83804,                0.56621,                 1.2226,                0.88906,                0.81982,                0.90657,                0.57149,                 1.2855,                0.76697,                 1.8728,              0.0002312,              0.0002312,              0.0002312
                     70,                0.83767,                0.56507,                  1.233,                0.89645,                 0.7973,                0.90304,                0.58127,                 1.2953,                0.79477,                 1.8699,              0.0002048,              0.0002048,              0.0002048
                     71,                0.81153,                0.53547,                 1.2085,                0.87918,                0.81949,                0.90686,                0.57583,                 1.3237,                0.79236,                 1.9028,              0.0001784,              0.0001784,              0.0001784
                     72,                0.80493,                0.53547,                 1.2025,                0.87261,                0.83307,                0.90777,                0.58797,                 1.2916,                0.76395,                 1.8766,               0.000152,               0.000152,               0.000152
                     73,                 0.7883,                0.52936,                 1.1911,                0.83974,                0.84974,                0.90942,                0.57811,                 1.3171,                0.76365,                 1.9035,              0.0001256,              0.0001256,              0.0001256
                     74,                0.77409,                0.51644,                 1.1823,                0.81694,                0.87838,                0.90997,                0.57745,                 1.3303,                0.76148,                 1.9285,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                  0.784,                0.51017,                 1.1935,                0.83767,                0.85586,                0.90268,                0.57548,                 1.3178,                0.76832,                 1.9157,               7.28e-05,               7.28e-05,               7.28e-05
